ngram,count,normed
E,445155370175,0.12492062534197067
T,330535289102,0.0927556484289489
A,286527429118,0.08040605150731232
O,272276534337,0.076406929387264
I,269731642485,0.07569277540220806
N,257770795264,0.07233629221774214
S,232082812755,0.06512766562623011
R,223767519675,0.06279420706085999
H,180074687596,0.05053301406632262
L,144998552911,0.0406898604777074
D,136017528785,0.038169582783224694
C,119155568598,0.03343773688810862
U,97273082907,0.02729701843405106
M,89506734085,0.02511760599410516
F,85635440629,0.02403123383775965
P,76112599849,0.02135891018410595
G,66615316232,0.018693758446142437
W,59712390260,0.01675664190911723
Y,59331661972,0.016649800974448417
B,52905544693,0.014846487698236691
V,37532682260,0.01053251617932296
K,19261229433,0.00540513489633885
X,8369138754,0.002348568874531159
J,5657910830,0.0015877372404490017
Q,4292916949,0.0012046892068254826
Z,3205398166,0.0008995069366664322
